Job ID, Job Link, Date Tried, Assumed Reason
4413428216,https://www.linkedin.com/jobs/view/4413428216,2026-06-26 15:48:46.880781,Required experience is high
4405211128,https://www.linkedin.com/jobs/view/4405211128,2026-06-26 15:49:17.391459,Required experience is high
4433599483,https://www.linkedin.com/jobs/view/4433599483,2026-06-26 15:50:15.919490,Required experience is high
4430201839,https://www.linkedin.com/jobs/view/4430201839,2026-06-26 15:50:57.152267,Found a Bad Word in About Job
4432029534,https://www.linkedin.com/jobs/view/4432029534,2026-06-26 15:52:24.389767,Found a Bad Word in About Job
4428539369,https://www.linkedin.com/jobs/view/4428539369,2026-06-26 15:52:30.610479,Required experience is high
4418753895,https://www.linkedin.com/jobs/view/4418753895,2026-06-26 15:52:36.828608,Found a Bad Word in About Job
4428359121,https://www.linkedin.com/jobs/view/4428359121,2026-06-26 15:54:17.556930,Found a Bad Word in About Job
4333156441,https://www.linkedin.com/jobs/view/4333156441,2026-06-26 15:54:32.590872,Required experience is high
4431729902,https://www.linkedin.com/jobs/view/4431729902,2026-06-26 15:54:39.815572,Required experience is high
4428109286,https://www.linkedin.com/jobs/view/4428109286,2026-06-26 15:55:07.528077,Asking for Security clearance
4418731745,https://www.linkedin.com/jobs/view/4418731745,2026-06-26 15:55:14.912131,Found a Bad Word in About Job
4418842436,https://www.linkedin.com/jobs/view/4418842436,2026-06-26 15:55:32.851315,Found a Bad Word in About Job
4432971326,https://www.linkedin.com/jobs/view/4432971326,2026-06-26 15:55:53.265383,Required experience is high
4427174872,https://www.linkedin.com/jobs/view/4427174872,2026-06-26 15:57:11.814439,Found a Bad Word in About Job
4429523543,https://www.linkedin.com/jobs/view/4429523543,2026-06-26 15:57:27.257679,Found a Bad Word in About Job
4423132473,https://www.linkedin.com/jobs/view/4423132473,2026-06-26 15:57:54.327541,Asking for Security clearance
4423664466,https://www.linkedin.com/jobs/view/4423664466,2026-06-26 15:59:08.532107,Required experience is high
4432526235,https://www.linkedin.com/jobs/view/4432526235,2026-06-26 15:59:37.798043,Found a Bad Word in About Job
4417314287,https://www.linkedin.com/jobs/view/4417314287,2026-06-26 16:00:06.268735,Found a Bad Word in About Job
4418556720,https://www.linkedin.com/jobs/view/4418556720,2026-06-26 16:00:35.667415,Found a Bad Word in About Job
4423652500,https://www.linkedin.com/jobs/view/4423652500,2026-06-26 16:00:54.369547,Required experience is high
4431661051,https://www.linkedin.com/jobs/view/4431661051,2026-06-26 16:01:25.828037,Found a Bad Word in About Job
